meeting_idx_id,meeting_date,agenda_key,agenda_no,original_agenda_no,agenda_kind,visibility,title,case_numbers,source_status,source_confidence
6731,2021-01-27,deliberation_decision:02:2,2,②,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조총0006~0035),"2020조총0006,2020조총0007,2020조총0008,2020조총0009,2020조총0010,2020조총0011,2020조총0012,2020조총0013,2020조총0014,2020조총0015,2020조총0016,2020조총0017,2020조총0018,2020조총0019,2020조총0020,2020조총0021,2020조총0022,2020조총0023,2020조총0024,2020조총0025,2020조총0026,2020조총0027,2020조총0028,2020조총0029,2020조총0030,2020조총0031,2020조총0032,2020조총0033,2020조총0034,2020조총0035",parsed_from_schedule,0.88
6731,2021-01-27,deliberation_decision:03:3,3,③,deliberation_decision,public,「개인정보 보호법 위반에 대한 과태료 부과기준」 제정에 관한 건,,parsed_from_schedule,0.88
6731,2021-01-27,deliberation_decision:04:4,4,④,deliberation_decision,public,「개인정보보호 법규 위반에 대한 고발기준」 제정에 관한 건,,parsed_from_schedule,0.88
6731,2021-01-27,deliberation_decision:05:5,5,⑤,deliberation_decision,private,「신용정보의 이용 및 보호에 관한 법령」 개선권고에 관한 건,,parsed_from_schedule,0.88
6728,2021-01-13,deliberation_decision:01:1,1,①,deliberation_decision,public,「한국으로 이전된 개인정보의 처리와 관련한 개인정보 보호법의 해석과 적용을 위한 보완규정」 개정에 관한 건,,parsed_from_schedule,0.88
6728,2021-01-13,deliberation_decision:02:2,2,②,deliberation_decision,public,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조일0021, 0011, 0012, 0024)","2020조일0021,2020조일0011,2020조일0012,2020조일0024",parsed_from_schedule,0.88
6728,2021-01-13,report:01:3,3,-,report,public,「주요 공공기관 개인정보 처리실태 합동점검 계획」에 관한 건,,parsed_from_schedule,0.88
6725,2020-12-23,deliberation_decision:01:1,1,①,deliberation_decision,public,이동통신 서비스 이용자의 통화내역 열람기한 제한 관련 개선권고에 관한 건,,parsed_from_schedule,0.88
6725,2020-12-23,deliberation_decision:02:2,2,②,deliberation_decision,public,(개인정보보호위원회) 정보보호 및 개인정보보호 관리체계 인증 등에 관한 고시 일부개정안에 관한 건,,parsed_from_schedule,0.88
6725,2020-12-23,deliberation_decision:03:3,3,③,deliberation_decision,public,2021년 개인정보보호 시행계획 수립에 관한 건,,parsed_from_schedule,0.88
